,Lugar,Grabadora,Transformación,Permanencia,Longitud,ACIft,ADI,ACItf,BI,TE,ESM,NDSI,P,M,NP,MID,BNF,BNT,MD,FM,SF,RMS,CF,ADIm1,ADIm2,ADIm3,ADIm4,ADIm5,ADIm6,ADIm7,ADIm8,ADIm9,ADIm10,ADIm11
20151212,Guajira,JSC5069,Baja,Baja,73º26'8.4''W,-0.2354162086,0.627768123,-0.5492429908,0.3684130822,0.894681466,0.5134610643,-0.8221997252,-0.6922877248,0.1648210336,-0.7112834576,0.0487561711,-0.6506091381,-0.9981464303,0.0123424368,0.5840774826,-0.1720066576,0.0906356801,-0.5615317199,1.1798049078,0.7756653006,0.508285457,-0.0055964606,-0.1052621772,0.1542707797,0.1270405698,-0.0823471541,0.5911435208,0.8782333608,0.820941965
20151213,Guajira,JSC5069,Baja,Baja,73º26'8.4''W,-0.1670729232,0.6267560816,-0.5627097645,0.6969458743,0.8937556802,0.5181253385,-0.5931084793,-0.6662491885,0.1592927191,-0.6000967007,0.1379406659,-0.6457301221,-0.9981464303,0.19170883,0.6918020882,-0.1374414057,0.085301562,-0.5665553567,1.1054755258,0.7654968562,0.2138018339,-0.3448433484,-0.3269067048,-0.0205000826,0.1324981091,-0.6324523445,0.3913736645,0.5863069364,0.5990466973
20151214,Guajira,JSC5069,Baja,Baja,73º26'8.4''W,-0.3147247943,0.792229806,-0.8041753236,0.3809501303,0.8946744084,0.8334783347,-0.8590998474,-0.6660120346,0.1553493699,-0.6933716694,-0.011135926,-0.6479806347,-0.9981464303,0.383684392,0.8791923197,-0.0821527244,0.0817122489,-0.5585548956,1.1745430047,0.8435587207,0.5538813977,0.1227818171,0.184728317,0.2118863038,0.4617024824,-0.191100038,0.4970362257,0.8041411472,0.8080082377
20151215,Guajira,JSC5069,Baja,Baja,73º26'8.4''W,-0.2844670591,0.9027537475,-0.5489663491,0.4239023644,0.8957376831,0.6870165641,-0.8274015135,-0.6916382172,0.1588112398,-0.6167546261,0.1435455926,-0.6518974813,-0.9981464303,0.4155614617,0.5957056164,-0.0912610189,0.0848227297,-0.5576352429,1.1864924295,0.5982771796,0.1925048089,-0.2588428848,-0.1951133515,-0.2243420869,-0.1467609209,-0.4110881203,0.278873224,0.5730398834,0.6457688654
20160101,Guajira,JSC5069,Baja,Baja,73º26'8.4''W,-0.4611705984,0.5224804456,-0.6410124255,-0.1310877758,0.9038473223,1.0968583964,-1.233280604,-0.8364190951,0.1540873723,-0.6330686492,0.1904113707,-0.6636572492,-0.9981464303,0.5572557896,0.5796054436,0.2046551697,0.080422706,-0.5787506424,1.1182089771,0.9501324236,0.2900138913,-0.1884677984,-0.4035822083,0.1907266548,-0.1349777283,-0.3626663808,0.8411471529,1.000478369,0.9678767625
20160102,Guajira,JSC5069,Baja,Baja,73º26'8.4''W,-0.4948329971,0.6246811624,-0.5397080265,0.1373015534,0.9037000686,0.9706875457,-0.929387154,-0.8125468243,0.1565750578,-0.5771335913,0.2601975764,-0.6658230761,-0.9981464303,0.5511013987,0.4725314516,0.1337862706,0.0827234187,-0.5711496718,1.1739333683,0.7076791356,-0.2349189839,-0.6355737125,-0.6717730305,-0.2304790709,-0.5131428079,-0.1194984208,0.8308201637,1.0361040604,0.985651297
20160103,Guajira,JSC5069,Baja,Baja,73º26'8.4''W,-0.3398669916,0.5692075717,-0.6142618715,0.2938406043,0.9031818105,0.9274047436,-0.9073898813,-0.8087399563,0.1562883184,-0.6610161201,0.1357401537,-0.6634540194,-0.9981464303,0.5230907969,0.5682034445,0.1310077746,0.0824748206,-0.5724691601,1.1422462693,0.9743987988,0.5988770964,-0.543228065,-0.3246939431,0.041120356,-0.3877746847,0.1351873665,1.0589786871,1.1753120508,0.8813815292
20160104,Guajira,JSC5069,Baja,Baja,73º26'8.4''W,-0.2026937741,0.6524902777,-0.5263710593,0.2438144357,0.9028087095,0.5609079164,-0.7911879223,-0.8005378644,0.1558201674,-0.6029234019,0.0559879527,-0.6641873781,-0.9981464303,0.5049884265,0.4654784572,0.1632606458,0.0820214081,-0.5796180924,1.2066549367,0.9551946771,0.6971749079,-0.3748944529,-0.1694181489,0.2639369313,-0.0438930144,-0.0491201916,0.6047032411,0.6318650029,0.4931094866
20160105,Guajira,JSC5069,Baja,Baja,73º26'8.4''W,-0.3079707118,0.5792581742,-0.709017789,0.1344432632,0.904837483,1.0932493985,-0.9064674752,-0.8191439284,0.158011584,-0.6068499447,-0.0051920033,-0.6643627753,-0.9981464303,0.5140909093,0.7383184508,0.1514402889,0.0839492372,-0.5751651241,1.1269755765,0.8296485575,0.7068164156,0.0338046804,0.2121579715,0.1917053356,0.0458942066,0.0756127527,0.5582806816,0.8251506034,0.8837663584
20160111,Guajira,JSC5069,Baja,Baja,73º26'8.4''W,-0.5379787074,0.3579992021,-0.7074472338,0.3825967526,0.9012682383,1.1314482141,-0.7713956466,-0.7722057821,0.1604026817,-0.8303579105,0.0428396951,-0.6632132726,-0.9981464303,0.5053391341,0.6666642081,0.0534516873,0.0864801362,-0.5704675873,1.1481898621,0.8140341166,0.6053347337,0.2932525129,0.3957144134,0.1625144988,-0.1235780528,0.4670267503,1.046319101,1.1008590531,0.8380884221
